user_id,session_id,typing_speed_deviation,pasted_char_ratio,screen_sequence_anomaly,amount_deviation,label
ab398905-d76c-4ef9-af40-fcef1bca44ec,a2259376-6849-4930-b8b0-e47b1a2c1ad0,-0.7760885077138697,0.05,0.3333333333333333,-0.19751480652862333,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,2bf0a0dd-3eaf-4ea4-8af3-f80b2d0b7871,-0.8063242981590846,0.9,0.3333333333333333,-0.16207667008145257,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,318c964d-0319-47bc-8d4f-f3e5a9fc61d6,-0.7889849300423468,0.05,0.16666666666666666,-0.1395821831710091,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,1cc96dbe-f71c-4297-b800-cfc975cb50c7,-0.8148501064133105,0.05,0.16666666666666666,-0.12551343259056577,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,d1647343-d594-48ef-942f-c30f11b2d1d9,-0.7694462805208406,0.05,0.3333333333333333,-0.3079384738276946,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,94c006e2-457d-41fc-b418-81e4af010ed5,-0.9910036131279063,0.05,0.16666666666666666,-0.24174258650382005,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,047008ef-0def-4490-9b9b-d40e4789d46e,-0.7262963743820929,0.05,0.5,-0.3047488742518963,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,c97f9024-66e7-4be3-a55c-678a60154e6b,-0.9353532255729031,0.05,0.16666666666666666,0.9434959151094398,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,a7979721-5469-42a8-b636-67dca70f4c92,-1.0981637759342284,0.05,0.3333333333333333,-0.2806243233211568,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,642a3be5-37eb-44cd-8005-70e3d25e123b,-0.6496379076165741,0.05,0.16666666666666666,-0.20136672961334354,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,0dea632d-421a-45bc-b2ad-ec8a55f84426,-0.8204896254391674,0.05,0.16666666666666666,-0.16273178271103692,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,bac690a3-89b8-4baa-a2f2-9530eef2371c,-0.9293945292981798,0.05,0.3333333333333333,-0.2507048411706715,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,4e1daa9a-2663-483f-ac73-369401c13b2d,-0.7744397412882695,0.05,0.5,-0.17597542999948662,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,ef3081ce-c905-4e82-acf1-3292f406985d,-0.9267039118744314,0.05,0.5,-0.23273208113999022,0
ab398905-d76c-4ef9-af40-fcef1bca44ec,74c4469b-9c4a-49b5-a16a-6f87788cea07,-0.774650102415464,0.05,0.3333333333333333,-0.3165394910804669,0
